i,j,v
0x18dd3c14e34c1bc379f7538068c59160d9f68e25,0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,9.028274
0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,0xd508c555c8349ae273c1da1fad738e9b66950d4b,69.573473
0xeba53db3b53e2ae621faae3bed4e7fcd11877eac,0xd508c555c8349ae273c1da1fad738e9b66950d4b,30.075888
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0x00c600b30fb0400701010f4b080409018b9006e0,8.028939
0xd5231d23ed357409a538541358a4a6a0496b22cd,0x5e27be7d7d7e2da1578b94b897d3be21c79ebb03,8.083574
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,112.887393
0x6b452ea7ec92dad4179773d1cd5a95cc6adfc28d,0xf646c637d180d39fb018e94f731b2136387d6c1b,6.583055
0xeba53db3b53e2ae621faae3bed4e7fcd11877eac,0x79b6327487e1105e747656715b4cbbd38667eaee,23.035472
0x02469e7afb9e193f40790c25811c5970050ebffe,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,7.913427
0x1b252f5aa0b44582fba1d4756cbcd7b39ca661ef,0x706505bac9311912df85522c8014c5b820f7d155,10.869254
0x52aa899454998be5b000ad077a46bbe360f4e497,0xc7695658167e9afe23363184be8d599faa996dac,22.19628
0x79b6327487e1105e747656715b4cbbd38667eaee,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,5.783055
0xe6db30da89e8c6492da3677fa9b5a7d59124995e,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,7.972627
0x52aa899454998be5b000ad077a46bbe360f4e497,0x02469e7afb9e193f40790c25811c5970050ebffe,20.026677
0x1b11e4cdf56304d4d8a6e3645e219cfc30339e65,0x52aa899454998be5b000ad077a46bbe360f4e497,7.972145
0x3bb1abd5417672644ba27a78129a8283134106e5,0x9008d19f58aabd9ed0d60971565aa8510560ab41,59.225322
0x52aa899454998be5b000ad077a46bbe360f4e497,0xf438cb3952d32dcd5519b17c9d24408681e47940,28.574537
0xfd6c61c946fa096e44f2464fb473f317c01e9a82,0x42653c71fe42bc9e0e78b8ef6b6a23ac9ad9ddbd,5.315085
0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,0xb2acd3caab07d899ddab548794b16747d4922ca4,28.366562
0x52aa899454998be5b000ad077a46bbe360f4e497,0x6581e989c48b9fb70cbaa5f887cee4285db054ad,19.08918
0x52aa899454998be5b000ad077a46bbe360f4e497,0xb4f17c28b4fee29231c37aa4b4fc4b42a02d6673,27.043876
0x02469e7afb9e193f40790c25811c5970050ebffe,0x2f59e9086ec8130e21bd052065a9e6b2497bb102,9.556358
0x2341ebf96f6b6cd6d225717f5af90278737390fc,0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,18.106941
0x2f75ffe98046e4a55fa79daf97b2730d7e707186,0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,7.972627
0x52aa899454998be5b000ad077a46bbe360f4e497,0x1b11e4cdf56304d4d8a6e3645e219cfc30339e65,64.992257
0xd782268f600403843484b70710daee6846fc0db8,0x3c5aac016ef2f178e8699d6208796a2d67557fe2,7.117364
0x02469e7afb9e193f40790c25811c5970050ebffe,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,9.543407
0xf70da97812cb96acdf810712aa562db8dfa3dbef,0x02469e7afb9e193f40790c25811c5970050ebffe,15.969845
0x3c5aac016ef2f178e8699d6208796a2d67557fe2,0x9008d19f58aabd9ed0d60971565aa8510560ab41,12.890553
0x52aa899454998be5b000ad077a46bbe360f4e497,0xdf3e15d2335be8190ba84e25568d6341af2bc0be,23.383587
0x67c26e83a302abd73d94a56cc88df0d7fd69f197,0x66d754a806d3360911e6d1436b4976614d871673,6.230322
0x0a2854fbbd9b3ef66f17d47284e7f899b9509330,0xdf3e15d2335be8190ba84e25568d6341af2bc0be,5.542633
0xeba53db3b53e2ae621faae3bed4e7fcd11877eac,0x1b11e4cdf56304d4d8a6e3645e219cfc30339e65,31.888581
0x2f75ffe98046e4a55fa79daf97b2730d7e707186,0x9008d19f58aabd9ed0d60971565aa8510560ab41,4.522214
0x19ceead7105607cd444f5ad10dd51356436095a1,0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,73.145958
0xa1c9d41719c4ffd99463f1cfa579d9b6a96b50c6,0xeb85ce0cbd80b25cdd1aa90723f86da17917c273,9.83017
0x52aa899454998be5b000ad077a46bbe360f4e497,0xe6db30da89e8c6492da3677fa9b5a7d59124995e,31.89051
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,0x02469e7afb9e193f40790c25811c5970050ebffe,18.429894
0xdd9c5568d1737b1a646940c9b9d80dcf9c6ba248,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,9.185036
